idFrameElement,frameName,name,coreType,description
2166,Fining,Reason,cty_core,"Typically, there is a constituent expressing the #Reason for the judge's judgment."
2168,Fining,Fine,cty_core,"The money given to expiate some debt for transgression.
Pat paid <fex name=""Money"">14 dollars</fex> in <t>fines</t>."
2159,Fining,Instrument,cty_peripheral,The instrument with which the fining is performed.
2160,Fining,Means,cty_peripheral,The action that is taken that results in punishment/reward.
2161,Fining,Place,cty_peripheral,Where the event takes place.
2162,Fining,Purpose,cty_peripheral,The purpose for which an intentional act is performed.
2163,Fining,Time,cty_peripheral,When the event occurs.
2165,Fining,Manner,cty_peripheral,"A description of the event (or state) not covered by more specific FEs, including secondary effects (quietly, loudly) and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of the #Speaker that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully)."
2169,Fining,Rate,cty_peripheral,"In some cases, price or payment is described per unit of goods."
2170,Fining,Unit,cty_peripheral,It is any unit in which goods or services can be measured.
2171,Fining,Event,cty_peripheral,The imposition of a debt due to culpable behavior.
2172,Fining,Degree,cty_peripheral,The #Degree to which the #Fine is punitive to the #Payer.
4748,Finish_competition,Competitor,cty_core,The individual involved in the #Competition.
4749,Finish_competition,Opponent,cty_core,The individual that the #Competitor has been competing against.
4750,Finish_competition,Competitors,cty_core,The individuals who compete against each other.
4755,Finish_competition,Competition,cty_core,The event in which the #Competitors compete with each other.
4751,Finish_competition,Score,cty_peripheral,"A quantity whereby progress is measured during the game, and #Rank and #Prizes are awarded to the #Competitors afterward."
4752,Finish_competition,Margin,cty_peripheral,The amount by which the #Competitor's and #Opponent's #Scores differ.
4753,Finish_competition,Rank,cty_peripheral,The rank (according to #Score) that a #Competitor achieves.
4754,Finish_competition,Prize,cty_peripheral,A socially and/or monetarily significant entity which is given to a #Competitor according to #Score or #Rank.
4756,Finish_competition,Means,cty_peripheral,An action of the #Competitor that results in the outcome of the #Competition.
4757,Finish_competition,Manner,cty_peripheral,"Any description of the #Competition which is not covered by more specific FEs, including epistemic modification (probably, presumably, mysteriously), secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also indicate salient characteristics of a #Competitor that also affect their action (presumptuously, coldly, deliberately, eagerly, carefully)."
4758,Finish_competition,Time,cty_peripheral,The time at which the #Competition takes place.
4759,Finish_competition,Place,cty_peripheral,The location at which the #Competition takes place.
13823,Finish_competition,Venue,cty_peripheral,"This FE is for the named venue of a competition, particularly when the place has been built for the purpose of a competition.
<ex>The Mets <t>won</t> against the Yankees  <fex name=""Venue"">at Shea Stadium</fex>.</ex>
"
9433,Finish_game,Game,cty_core,An activity the #Player participates in.
9434,Finish_game,Player,cty_core,The individual participating in a #Game.
9435,Finish_game,Manner,cty_peripheral,"Any description of the #Game which is not covered by more specific FEs, including epistemic modification (probably, presumably, mysteriously), secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also indicate salient characteristics of a #Player that also affect their action (presumptuously, coldly, deliberately, eagerly, carefully)."
9436,Finish_game,Means,cty_peripheral,An action of the #Player that results in the outcome of the #Game.
9437,Finish_game,Time,cty_peripheral,The time at which the #Game takes place.
9438,Finish_game,Place,cty_peripheral,The location in which the #Player finishes the #Game.
9439,Finish_game,Purpose,cty_peripheral,The purpose for which the #Player wins or loses the #Game.
9440,Finish_game,Degree,cty_peripheral,The degree to which the #Player wins or loses the #Game.
11101,Firefighting,Fire,cty_core,The fire that #Firefighters target.
11102,Firefighting,Firefighter,cty_core,The individual or group who respond(s) to the #Fire.
11103,Firefighting,Time,cty_peripheral,The time when the #Firefighter fights the #Fire.
11104,Firefighting,Place,cty_peripheral,It identifies the location of the #Firefighters as they attempt to fight the #Fire.
11105,Firefighting,Manner,cty_peripheral,The manner in which the #Firefighters are fighting the #Fire.
11106,Firefighting,Purpose,cty_peripheral,The desired result of the firefight. It may either directly refer to the state of affairs that is desired.
11107,Firefighting,Instrument,cty_peripheral,An instrument with which an intentional fire-fighting act is performed.
11135,Fire_break,Fire_break,cty_core,The constructed entity that is intended to prevent a fire from reaching a protected area.
11136,Fire_break,Creator,cty_peripheral,An individual or individuals that bring the #Fire_break into existence.
11137,Fire_break,Material,cty_peripheral,"Any indication of what makes up the #Fire_break, including components, ingredients, etc."
11138,Fire_break,Name,cty_peripheral,The term used to refer to a #Fire_break.
11139,Fire_break,Time_of_creation,cty_peripheral,The time at which a #Fire_break comes into existence.
11140,Fire_break,Type,cty_peripheral,An indication of the subtype of #Fire_break.
11141,Fire_break,Use,cty_peripheral,The use for which a #Fire_break is intended.
11040,Fire_burning,Fire,cty_core,"The total material currently involved in combustion, including both the parts of the #Fuel currently undergoing chemical alteration and the partially ionized gas that results from this process."
11041,Fire_burning,Fuel,cty_core,The entity that is undergoing rapid chemical alteration leading to damage or destruction.
11038,Fire_burning,Place,cty_peripheral,It identifies the #Place where the #Fire is burning.
11039,Fire_burning,Time,cty_peripheral,It identifies the #Time when the #Fire is burning.
11042,Fire_burning,Manner,cty_peripheral,"Any description of the #Fire event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way)."
11044,Fire_burning,Duration,cty_peripheral,The amount of time that the #Fire burns.
11109,Fire_emergency_scenario,Fire,cty_core,The fire which causes an emergency response.
11110,Fire_emergency_scenario,Duration,cty_peripheral,The length of time between the declaration of a #Fire as in an emergency state and the conclusion of the emergency.
11111,Fire_emergency_scenario,Place,cty_peripheral,It identifies the #Place where the fire emergency scenario occurs.
11112,Fire_emergency_scenario,Responder,cty_peripheral,The individual or group that is responding to a fire emergency with directed action.
11113,Fire_emergency_scenario,Response,cty_peripheral,"Directed action leading to recovery, rescue, or general mitigation of distress due to an ensuing fire emergency."
11114,Fire_emergency_scenario,Time,cty_peripheral,It identifies the #Time when the fire emergency scenario occurs.
11115,Fire_emergency_scenario,Victim,cty_peripheral,The #Victim(s) affected negatively by the fire emergency event.
11026,Fire_end_scenario,Fire,cty_core,The combustion process that is coming to an end.
11024,Fire_end_scenario,Place,cty_peripheral,It identifies the #Place where the #Fire goes out.
11025,Fire_end_scenario,Time,cty_peripheral,It identifies the #Time when the #Fire goes out.
11027,Fire_end_scenario,Degree,cty_peripheral,It describes the how near the #Fire is to going out.
11033,Fire_going_out,Fire,cty_core,The combustion process that comes to an end.
11029,Fire_going_out,Manner,cty_peripheral,It identifies the state of the #Fire that affects the nature of the event.
11031,Fire_going_out,Place,cty_peripheral,It identifies the #Place where the #Fire goes out.
