idFrameElement,frameName,name,coreType,description,Role+AF8-Type
1684,Activity+AF8-finish,Means,cty+AF8-peripheral,It identifies the +ACM-Means by which an +ACM-Agent finishes an +ACM-Activity.,Instrument
1685,Activity+AF8-finish,Purpose,cty+AF8-peripheral,It identifies the +ACM-Purpose for which an +ACM-Agent finishes for an +ACM-Activity.,Goal/Result
1686,Activity+AF8-finish,Degree,cty+AF8-peripheral,It describes the how near the agent is to finishing.,Path/Location
13465,Activity+AF8-learning,Student,cty+AF8-core,Student,Unclassified
13467,Activity+AF8-learning,Subject,cty+AF8-core,Subject,Participant
13469,Activity+AF8-learning,Skill,cty+AF8-core,Skill,Unclassified
13471,Activity+AF8-learning,Teacher,cty+AF8-core,Teacher,Unclassified
13546,Activity+AF8-learning,Subjects,cty+AF8-core,Subjects,Participant
13547,Activity+AF8-learning,Duration,cty+AF8-peripheral,Duration,Path/Location
13551,Activity+AF8-learning,Goal,cty+AF8-peripheral,Goal,Goal/Result
13552,Activity+AF8-learning,Instrument,cty+AF8-peripheral,Instrument,Instrument
13554,Activity+AF8-learning,Place,cty+AF8-peripheral,Place,Path/Location
13577,Activity+AF8-learning,Manner,cty+AF8-peripheral,Manner,Manner/Means
13585,Activity+AF8-learning,Means,cty+AF8-peripheral,Means,Instrument
13592,Activity+AF8-learning,Explanation,cty+AF8-peripheral,Explanation,Path/Location
13601,Activity+AF8-learning,Time,cty+AF8-peripheral,Time,Time/Duration
13689,Activity+AF8-learning,Degree,cty+AF8-peripheral,Degree,Unclassified
1663,Activity+AF8-ongoing,Duration,cty+AF8-core,+ACI-It denotes the length of +ACM-Time from the beginning of a continuous situation (the one denoted by the target) to its end. In many cases, the continuous situation is a dynamic action which is ongoing, while in others it is simply an undifferentiated state.+ACI-,Path/Location
1664,Activity+AF8-ongoing,Activity,cty+AF8-core,It identifies the name of the ongoing +ACM-Activity in which an +ACM-Agent engages.,Unclassified
1672,Activity+AF8-ongoing,Agent,cty+AF8-core,The +ACM-Agent engages in an ongoing +ACM-Activity.,Participant
1665,Activity+AF8-ongoing,Place,cty+AF8-peripheral,It identifies the +ACM-Place where the ongoing +ACM-Activity occurs.,Path/Location
1667,Activity+AF8-ongoing,Time,cty+AF8-peripheral,It identifies the +ACM-Time when an ongoing +ACM-Activity occurs.,Time/Duration
1669,Activity+AF8-ongoing,Manner,cty+AF8-peripheral,It identifies the +ACM-Manner in which an +ACM-Agent performs an ongoing +ACM-Activity.,Manner/Means
1670,Activity+AF8-ongoing,Means,cty+AF8-peripheral,It identifies the +ACM-Means by which an +ACM-Agent engages in an ongoing +ACM-Activity.,Instrument
1709,Activity+AF8-pause,Activity,cty+AF8-core,It identifies the +ACM-Activity for which an +ACM-Agent is pausing.,Unclassified
1710,Activity+AF8-pause,Agent,cty+AF8-core,An +ACM-Agent pauses in the course of an +ACM-Activity.,Participant
1711,Activity+AF8-pause,Manner,cty+AF8-peripheral,It identifies the +ACM-Manner in which an +ACM-Agent pauses during the course of an +ACM-Activity.,Manner/Means
1712,Activity+AF8-pause,Means,cty+AF8-peripheral,It identifies the +ACM-Means by which an +ACM-Agent pauses in the course of an +ACM-Activity.,Instrument
1713,Activity+AF8-pause,Place,cty+AF8-peripheral,It identifies the +ACM-Place where an +ACM-Agent pauses in the course of an +ACM-Activity.,Path/Location
1714,Activity+AF8-pause,Time,cty+AF8-peripheral,It identifies the +ACM-Time at which an +ACM-Agent pauses in the course of an +ACM-Activity.,Path/Location
1715,Activity+AF8-pause,Purpose,cty+AF8-peripheral,It identifies the +ACM-Purpose for which an +ACM-Agent pauses in the course of an +ACM-Activity.,Goal/Result
1717,Activity+AF8-pause,Completeness,cty+AF8-peripheral,The extent to which the +ACM-Agent pauses in the +ACM-Activity.,Path/Location
1718,Activity+AF8-pause,Duration,cty+AF8-peripheral,The length of time of the pause in the +ACM-Activity.,Time/Duration
1850,Activity+AF8-paused+AF8-state,Agent,cty+AF8-core,It identifies the +ACM-Agent in the paused +ACM-State of an activity.,Participant
1852,Activity+AF8-paused+AF8-state,Activity,cty+AF8-core,The overall event that the +ACM-Agent is involved in.,Path/Location
1851,Activity+AF8-paused+AF8-state,Time,cty+AF8-peripheral,The point at which the +ACM-Agent paused the +ACM-Activity.,Path/Location
1853,Activity+AF8-paused+AF8-state,Duration,cty+AF8-peripheral,The length of time that the +ACM-Activity does not resume.,Path/Location
1734,Activity+AF8-prepare,Agent,cty+AF8-core,An +ACM-Agent prepares for an +ACM-Activity.,Participant
1735,Activity+AF8-prepare,Activity,cty+AF8-core,It identifies the +ACM-Activity for which an +ACM-Agent is preparing.,Unclassified
1736,Activity+AF8-prepare,Place,cty+AF8-peripheral,It identifies the +ACM-Place where an +ACM-Agent prepares for an +ACM-Activity.,Path/Location
1737,Activity+AF8-prepare,Time,cty+AF8-peripheral,It identifies the +ACM-Time at which an +ACM-Agent prepares for an +ACM-Activity.,Path/Location
1738,Activity+AF8-prepare,Manner,cty+AF8-peripheral,It identifies the +ACM-Manner in which an +ACM-Agent prepares for an +ACM-Activity.,Manner/Means
1739,Activity+AF8-prepare,Means,cty+AF8-peripheral,It identifies the +ACM-Means with which an +ACM-Agent prepares for an +ACM-Activity.,Instrument
1741,Activity+AF8-prepare,Duration,cty+AF8-peripheral,It identifies the length of +ACM-Time during which an +ACM-Agent prepares for an +ACM-Activity.,Time/Duration
1743,Activity+AF8-prepare,Degree,cty+AF8-peripheral,It describes the amount of preparation the +ACM-Agent puts into an +ACM-Activity.,Path/Location
1727,Activity+AF8-ready+AF8-state,Protagonist,cty+AF8-core,It identifies the +ACM-Protagonist in the initial state of an activity.,Path/Location
1728,Activity+AF8-ready+AF8-state,Activity,cty+AF8-core,The action that the +ACM-Protagonist is prepared to do.,Path/Location
1729,Activity+AF8-ready+AF8-state,Salient+AF8-entity,cty+AF8-core,An entity which stands in metonymically for the +ACM-Activity.,Path/Location
1730,Activity+AF8-ready+AF8-state,Time,cty+AF8-peripheral,The time when the +ACM-Protagonist is ready.,Time/Duration
1732,Activity+AF8-ready+AF8-state,Duration,cty+AF8-peripheral,The length of time that the +ACM-Protagonist remains capable of the +ACM-Activity without beginning it.,Path/Location
5524,Activity+AF8-resume,Activity,cty+AF8-core,The +ACM-Activity which is being resumed by the +ACM-Agent.,Unclassified
5529,Activity+AF8-resume,Agent,cty+AF8-core,The +ACM-Agent who resumes an +ACM-Activity that they were engaged in earlier.,Participant
5523,Activity+AF8-resume,Duration,cty+AF8-peripheral,The amount of +ACM-Time for which the +ACM-Activity is resumed.,Time/Duration
5525,Activity+AF8-resume,Place,cty+AF8-peripheral,Where the event takes place.,Path/Location
5527,Activity+AF8-resume,Time,cty+AF8-peripheral,When the +ACM-Activity is resumed.,Time/Duration
5528,Activity+AF8-resume,Manner,cty+AF8-peripheral,+ACI-Any description of the +ACM-Activity  which is not covered by more specific FEs, including epistemic modification (probably, presumably, mysteriously), secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also mark indications of salient characteristics of the +ACM-Agent which affect the +ACM-Activity.+ACI-,Path/Location
1574,Activity+AF8-start,Activity,cty+AF8-core,It identifies the +ACM-Activity that an +ACM-Agent starts.,Path/Location
1575,Activity+AF8-start,Agent,cty+AF8-core,It identifies the being that starts the intentional +ACM-Activity.,Participant
1568,Activity+AF8-start,Place,cty+AF8-peripheral,It identifies the +ACM-Place where the +ACM-Agent starts an +ACM-Activity.,Path/Location
1569,Activity+AF8-start,Purpose,cty+AF8-peripheral,It identifies the +ACM-Purpose for which an +ACM-Agent engages in a starting +ACM-Activity.,Goal/Result
1570,Activity+AF8-start,Time,cty+AF8-peripheral,It identifies the +ACM-Time when the +ACM-Agent starts an +ACM-Activity.,Time/Duration
1572,Activity+AF8-start,Manner,cty+AF8-peripheral,It identifies the +ACM-Manner in which an +ACM-Agent starts an +ACM-Activity.,Manner/Means
1573,Activity+AF8-start,Means,cty+AF8-peripheral,It identifies the +ACM-Means by which an +ACM-Agent starts an +ACM-Activity.,Instrument
1696,Activity+AF8-stop,Agent,cty+AF8-core,It identifies +ACM-Agent that stops the +ACM-Activity.,Participant
1697,Activity+AF8-stop,Activity,cty+AF8-core+AC0-unexpressed,It identifies the +ACM-Activity that the +ACM-Agent stops.,Path/Location
1691,Activity+AF8-stop,Place,cty+AF8-peripheral,It identifies the +ACM-Place where the +ACM-Agent stops the +ACM-Activity.,Path/Location
1692,Activity+AF8-stop,Time,cty+AF8-peripheral,It identifies the +ACM-Time when the +ACM-Agent stops the +ACM-Activity.,Path/Location
1694,Activity+AF8-stop,Manner,cty+AF8-peripheral,It identifies the +ACM-Manner in which the +ACM-Agent stops the +ACM-Activity.,Path/Location
1698,Activity+AF8-stop,Duration,cty+AF8-peripheral,It identifies the length of +ACM-Time during which the +ACM-Activity is stopped.,Path/Location
1701,Activity+AF8-stop,Degree,cty+AF8-peripheral,It describes the completeness of stopping.,Path/Location
13499,Activity+AF8-teaching,Activity,cty+AF8-core,Activity,Unclassified
13502,Activity+AF8-teaching,Teacher,cty+AF8-core,Teacher,Unclassified
